INSTNM,CITY,STABBR,ZIP,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,ST_FIPS,REGION,LATITUDE,LONGITUDE,CCBASIC,CCUGPROF,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,UGDS,UG,NPT4_PUB,NPT4_PRIV,NPT4_PROG,NPT4_OTHER,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,TUITFTE,PFTFTUG1_EF,AGE_ENTRY,UNEMP_RATE,COUNT_NWNE_P10,COUNT_WNE_P10,MN_EARN_WNE_P10,MD_EARN_WNE_P10,COUNT_NWNE_P6,COUNT_WNE_P6,MN_EARN_WNE_P6,MD_EARN_WNE_P6,COUNT_WNE_INC1_P6,COUNT_WNE_INC2_P6,COUNT_WNE_INC3_P6,COUNT_WNE_INDEP0_INC1_P6,COUNT_WNE_INDEP0_P6,COUNT_NWNE_P7,COUNT_WNE_P7,MN_EARN_WNE_P7,SD_EARN_WNE_P7,COUNT_NWNE_P8,COUNT_WNE_P8,MN_EARN_WNE_P8,MD_EARN_WNE_P8,COUNT_NWNE_P9,COUNT_WNE_P9,MN_EARN_WNE_P9,SD_EARN_WNE_P9,ICLEVEL
Venus Beauty Academy,Sharon Hill,PA,19079,1,1,1,3,42,2,39.908991,-75.271982,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,105,79,NULL,17032,26790,NULL,NULL,20129,NULL,NULL,15550,9583,NULL,24.19565217,3.130000114,35,127,25400,20600,34,116,17700,16400,56,PrivacySuppressed,42,30,78,41,128,21400,16900,44,143,19200,15500,39,89,23600,18100,3
Villanova University,Villanova,PA,19085-1699,1,3,4,2,42,2,40.039388,-75.345457,17,14,14,0.4933,645,665,650,30,32,30,NULL,1313,6895,7083,NULL,35565,NULL,NULL,58519,NULL,45966,45966,NULL,26473,0.8802,20.68371112,2.690000057,109,1819,84900,73900,68,1456,60100,57200,222,249,985,114,1307,91,1491,66300,51000,101,1534,70700,65000,109,1729,78100,60500,1
Washington Hospital School of Nursing,Washington,PA,15301,2,1,1,2,42,2,40.183618,-80.247081,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,68,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1824,NULL,26.80392157,3.420000076,PrivacySuppressed,99,50400,50500,PrivacySuppressed,110,47100,48800,37,40,33,12,43,8,120,49000,21000,PrivacySuppressed,122,49700,52900,7,62,46300,23700,2
Washington Hospital School of Radiologic Technology,Washington,PA,15301,2,1,1,2,42,2,40.183373,-80.246421,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5206,NULL,26.80392157,3.420000076,PrivacySuppressed,99,50400,50500,PrivacySuppressed,110,47100,48800,37,40,33,12,43,8,120,49000,21000,PrivacySuppressed,122,49700,52900,7,62,46300,23700,2
Washington & Jefferson College,Washington,PA,15301,1,3,3,2,42,2,40.171898,-80.240388,21,14,11,0.4165,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1323,1241,NULL,26293,NULL,NULL,51369,NULL,41282,41282,NULL,21989,0.8827,19.48165869,2.960000038,41,443,54900,47900,25,431,40700,37700,56,97,278,42,424,21,403,43200,23000,PrivacySuppressed,511,48200,46500,30,430,51400,33100,1
Waynesburg University,Waynesburg,PA,15370-1257,1,3,4,2,42,2,39.899419,-80.18727,18,12,11,0.8356,495,500,NULL,23,22,22,NULL,1008,1501,1379,NULL,18121,NULL,NULL,30780,NULL,21290,21290,NULL,12351,0.9128,21.27272727,3.359999895,81,701,50100,45100,38,723,39800,36500,153,229,341,108,535,51,668,42000,25600,46,758,44400,41600,60,692,47000,28400,1
Welder Training and Testing Institute,Allentown,PA,18109-3253,1,1,1,3,42,2,40.626469,-75.447263,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,22,NULL,13063,13572,NULL,NULL,16953,NULL,NULL,9975,8941,NULL,28.1965812,3.349999905,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,52,35800,29700,28,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,25,6,51,34200,20300,PrivacySuppressed,56,40800,42000,8,25,PrivacySuppressed,PrivacySuppressed,3
West Chester University of Pennsylvania,West Chester,PA,19383,1,3,4,1,42,2,39.949084,-75.594631,18,15,16,0.5348,530,545,525,24,24,23,NULL,1079,13610,10324,21703,NULL,NULL,NULL,24995,NULL,9144,19594,NULL,8975,0.6256,21.27659223,2.880000114,307,3337,48600,46100,200,3108,36900,35800,582,769,1757,276,2709,203,3098,41200,23300,244,3161,43200,41000,258,3105,46900,32700,1
Western Pennsylvania Hospital School of Nursing,Pittsburgh,PA,15224,1,1,1,2,42,2,40.462332,-79.9455,-2,-2,-2,0.3913,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,117,49,NULL,15248,NULL,NULL,16969,NULL,7410,7410,NULL,6826,NULL,25.48979592,3.099999905,PrivacySuppressed,74,50300,51200,PrivacySuppressed,79,45700,46300,27,28,PrivacySuppressed,PrivacySuppressed,39,3,71,48100,19800,PrivacySuppressed,83,46200,45800,7,47,PrivacySuppressed,PrivacySuppressed,2
Pittsburgh Career Institute,Pittsburgh,PA,15219-1907,1,1,2,3,42,2,40.442822,-79.996164,10,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,114,474,NULL,15487,NULL,18111,20972,NULL,17547,17547,NULL,20014,NULL,26.41212121,3.910000086,162,684,26100,24400,232,1058,22100,20500,658,242,158,149,460,195,880,24300,18100,271,1031,23300,21900,127,476,24900,17500,2
